品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,親分,7038
名詞-普通名詞-一般,少佐,7121
名詞-普通名詞-一般,仰向け,6797
名詞-普通名詞-一般,御袋,7351
名詞-普通名詞-形状詞可能,無念,7299
名詞-普通名詞-形状詞可能,静,6991
名詞-普通名詞-一般,栗鼠,6952
名詞-普通名詞-一般,公爵,7349
名詞-普通名詞-一般,別人,6781
名詞-普通名詞-一般,広間,7393
名詞-普通名詞-形状詞可能,奇怪,7429
名詞-普通名詞-一般,楓,7206
名詞-普通名詞-形状詞可能,臆病,7061
名詞-普通名詞-一般,指紋,6820
名詞-普通名詞-一般,崎,7012
名詞-普通名詞-一般,トランク,7224
名詞-普通名詞-一般,土間,7506
名詞-普通名詞-一般,顔立ち,6949
名詞-普通名詞-一般,欠片,7226
名詞-普通名詞-一般,若衆,7797
名詞-普通名詞-一般,傷口,7143
名詞-普通名詞-サ変可能,凝視,7614
名詞-普通名詞-一般,人影,7102
名詞-普通名詞-一般,ピストル,7759
名詞-普通名詞-一般,剥き出し,7366
名詞-普通名詞-形状詞可能,空っぽ,7767
名詞-普通名詞-一般,中尉,7719
名詞-普通名詞-一般,仕業,7579
名詞-普通名詞-サ変可能,ノック,7664
名詞-普通名詞-一般,天辺,7813
名詞-普通名詞-一般,向かい,7551
名詞-普通名詞-一般,提督,8050
名詞-普通名詞-サ変可能,辞儀,8164
名詞-普通名詞-サ変可能,護衛,7924
名詞-普通名詞-一般,小声,7522
名詞-普通名詞-一般,武者,7645
名詞-普通名詞-一般,化け物,7859
名詞-普通名詞-形状詞可能,静寂,8118
名詞-普通名詞-一般,叫び声,7930
名詞-普通名詞-一般,梯子,8186
名詞-普通名詞-一般,エンジェル,7282
名詞-普通名詞-一般,目付き,7521
名詞-普通名詞-一般,歓声,8224
名詞-普通名詞-一般,身動き,7969
名詞-普通名詞-サ変可能,乾杯,7919
名詞-普通名詞-一般,泣き声,7776
名詞-普通名詞-一般,村長,8380
名詞-普通名詞-一般,艦長,8135
名詞-普通名詞-一般,手摺,8042
名詞-普通名詞-一般,本真,7867
名詞-普通名詞-形状詞可能,聡明,8443
名詞-普通名詞-一般,弾丸,8532
名詞-普通名詞-一般,苛立ち,8460
名詞-普通名詞-一般,小石,8660
名詞-普通名詞-一般,枕元,8057
名詞-普通名詞-一般,畜生,8117
名詞-普通名詞-一般,舞,8348
名詞-普通名詞-一般,倅,8183
名詞-普通名詞-一般,首筋,7677
名詞-普通名詞-一般,老女,8326
名詞-普通名詞-サ変可能,懐中,7979
名詞-普通名詞-一般,縁側,8371
名詞-普通名詞-一般,相槌,8312
名詞-普通名詞-サ変可能,失踪,8409
名詞-普通名詞-一般,刃物,8167
名詞-普通名詞-一般,着替え,8248
名詞-普通名詞-一般,笑い声,8035
名詞-普通名詞-一般,両腕,8434
名詞-普通名詞-一般,悪夢,8498
名詞-普通名詞-一般,牙,8456
名詞-普通名詞-一般,ホステス,7990
名詞-普通名詞-形状詞可能,卑怯,8262
名詞-普通名詞-一般,横顔,8420
名詞-普通名詞-一般,謀反,8858
名詞-普通名詞-一般,独り言,8241
名詞-普通名詞-一般,死骸,8340
